Firm Name,Category,City,State,Region,Website,Focus/Sector,AUM/Fund Size,Deal Size/Criteria,Priority,Founded,Team Size,Description,Contact Email,Notes
WestView Capital Partners,Private Equity,Boston,MA,Boston/New England,westviewcap.com,"Business services, IT, healthcare tech",$2.7B,N/A,2,N/A,N/A,"Growth companies focus",,
Silversmith Capital Partners,Private Equity,Boston,MA,Boston/New England,silversmithcap.com,"SaaS, Information Services, Healthcare IT",N/A,N/A,2,N/A,N/A,,,
Fort Point Capital,Private Equity,Boston,MA,Boston/New England,fortpointcapital.com,Service-oriented companies,N/A,N/A,2,N/A,N/A,"Growth acceleration focus",,
Cohere Capital Partners,Private Equity,Boston,MA,Boston/New England,coherecapital.com,Tech-enabled lower middle-market,$215M Fund II,N/A,2,N/A,N/A,,,
Union Park Capital,Private Equity,Boston,MA,Boston/New England,unionparkcapital.com,Industrial technology,N/A,N/A,2,N/A,N/A,"Organic + add-on strategy",,
Sverica Capital,Private Equity,Boston,MA,Boston/New England,svericacapital.com,"Tech, healthcare, industrial niches",N/A,N/A,2,N/A,N/A,"Buy-and-build focus",,
Copley Equity Partners,Private Equity,Boston,MA,Boston/New England,copleyequity.com,Founder-led businesses,N/A,N/A,2,N/A,N/A,"Family-office backed evergreen capital",,
H.I.G. Capital,Private Equity,Miami,FL,South Florida,higcapital.com,"Middle-market LBOs, growth equity, credit",$59B+,N/A,1,1993,~500,"Global offices including LatAm; founded 1993",,"Major recruiter of MBAs including Latin American students"
Starwood Capital Group,Private Equity,Miami Beach,FL,South Florida,starwoodcapital.com,Global real estate PE,$115B,N/A,1,N/A,N/A,"Barry Sternlicht; Miami Beach HQ",,"Recruits post-MBA for real estate acquisitions"
Sun Capital Partners,Private Equity,Boca Raton,FL,South Florida,suncappart.com,"Operational turnarounds, buyouts",$10B+,N/A,1,N/A,N/A,"Consumer, retail, industrial focus",,"Recruits from Wharton and top MBA programs"
AE Industrial Partners,Private Equity,Boca Raton,FL,South Florida,aeip.com,"Aerospace, defense, government services",$6B+,N/A,1,N/A,N/A,"Boca Raton HQ",,
Trivest Partners,Private Equity,Coral Gables,FL,South Florida,trivest.com,Founder/family-owned businesses,$6B+ cumulative,N/A,1,1981,N/A,"Oldest PE in Florida; since 1981",,"Recruits from UM, UF, and national programs"
Comvest Partners,Private Equity,West Palm Beach,FL,South Florida,comvest.com,"Middle-market buyouts, credit",$5.1B+,N/A,1,N/A,N/A,"West Palm Beach HQ",,
Rialto Capital,Private Equity,Miami,FL,South Florida,rialtocapital.com,"Real estate, distressed, credit",$15.9B,N/A,1,N/A,N/A,"Miami HQ",,
Hidden Harbor Capital,Private Equity,Tampa,FL,South Florida,hiddenharborpe.com,Lower middle market,$1.9B,N/A,2,N/A,N/A,"Tampa HQ",,
I Squared Capital,Private Equity,Miami,FL,South Florida,isquaredcapital.com,Infrastructure PE with LatAm presence,$40B+,N/A,1,N/A,N/A,"Miami HQ",,
Leste Group,Private Equity,Miami,FL,South Florida,lestegroup.com,"Alternative investments, LatAm focus",$2B+,N/A,2,N/A,N/A,,,
DaGrosa Capital Partners,Private Equity,Miami,FL,South Florida,dagrosacap.com,"Financial services, sports, LatAm",N/A,N/A,2,N/A,N/A,,,
The Carlyle Group,Private Equity,Washington,DC,DC/Mid-Atlantic,carlyle.com,"Aerospace, Defense, Government Services",$447B,N/A,1,1987,N/A,"Booz Allen, Two Six Technologies portfolio",,"Georgetown, Wharton, Darden recruiting"
Arlington Capital Partners,Private Equity,Chevy Chase,MD,DC/Mid-Atlantic,arlingtoncap.com,"Aerospace, Defense, Government, Healthcare",$8.0B,N/A,1,N/A,N/A,"BlueHalo, Neumo ($3B+) portfolio",,"Georgetown, Darden, Wharton recruiting"
Capitol Meridian Partners,Private Equity,Washington,DC,DC/Mid-Atlantic,capitolmeridian.com,"Defense technology, Government services",Mid-market,N/A,1,N/A,N/A,"Ex-Carlyle A&D team",,"Georgetown, Darden recruiting"
Enlightenment Capital,Private Equity,Washington,DC,DC/Mid-Atlantic,enlightenmentcap.com,"Cybersecurity, National Security, Defense",Mid-market,N/A,1,N/A,N/A,"Forterra ($238M Series C) portfolio",,"Georgetown, Darden recruiting"
DC Capital Partners,Private Equity,Alexandria,VA,DC/Mid-Atlantic,dccap.com,"Government Services, Engineering",Mid-market,N/A,1,N/A,N/A,"Michael Baker International portfolio",,"Georgetown, UVA recruiting"
Godspeed Capital,Private Equity,Washington,DC,DC/Mid-Atlantic,godspeedcapital.com,"Defense, Government Services, Technology",Lower mid-market,N/A,2,N/A,N/A,"SilverEdge acquisitions",,"Georgetown, Darden recruiting"
The Halifax Group,Private Equity,Washington,DC,DC/Mid-Atlantic,thehalifaxgroup.com,Lower middle-market diversified,N/A,"$50-300M deals",2,N/A,N/A,,,"Georgetown, Darden recruiting"
The Brydon Group,Private Equity,Washington,DC,DC/Mid-Atlantic,thebrydongroup.com,"Software, B2B, Government, Healthcare",$270M,N/A,2,N/A,N/A,"24 deals, veteran-led",,"Georgetown, Darden recruiting"
EIG Global Energy Partners,Private Equity,Washington,DC,DC/Mid-Atlantic,eigpartners.com,Energy and infrastructure,$21B,N/A,1,N/A,N/A,"Energy-focused PE",,"Texas programs and Darden energy club"
JMI Equity,Private Equity,Baltimore,MD,DC/Mid-Atlantic,jmiequity.com,Enterprise software,$6B+,N/A,1,N/A,N/A,"B2B software focus",,
HCI Equity Partners,Private Equity,Washington,DC,DC/Mid-Atlantic,hciequity.com,Industrial-focused PE,N/A,N/A,2,N/A,N/A,,,
Ridgemont Equity Partners,Private Equity,Charlotte,NC,Charlotte/Southeast,ridgemontep.com,"Business services, industrial, healthcare",$8.5B+,N/A,1,N/A,N/A,,,"Kenan-Flagler, Fuqua recruiting"
Falfurrias Capital Partners,Private Equity,Charlotte,NC,Charlotte/Southeast,falfurriascapital.com,"Consumer, financial services, tech",$1.35B,N/A,1,N/A,N/A,"Co-founded by former BofA CEO Hugh McColl",,"Kenan-Flagler, Fuqua recruiting"
Pamlico Capital,Private Equity,Charlotte,NC,Charlotte/Southeast,pamlicocapital.com,"Communications, healthcare, software",$1.75B,N/A,1,N/A,N/A,"Formerly Wachovia Capital Partners",,"Kenan-Flagler, Fuqua recruiting"
Carousel Capital,Private Equity,Charlotte,NC,Charlotte/Southeast,carouselcapital.com,"Consumer, business services, healthcare","$300-400M/fund",N/A,2,N/A,N/A,,,"Kenan-Flagler recruiting"
Plexus Capital,Private Equity,Raleigh,NC,Charlotte/Southeast,plexuscapital.com,"Healthcare, business services, manufacturing","$3B+ debt; $345M PE",N/A,2,N/A,N/A,,,"Kenan-Flagler recruiting"
Capitala Group,Private Equity,Charlotte,NC,Charlotte/Southeast,capitalagroup.com,"Healthcare, technology, business services",$2.2B+ invested,N/A,2,N/A,N/A,,,"Kenan-Flagler recruiting"
NovaQuest Capital,Private Equity,Charlotte,NC,Charlotte/Southeast,novaquest.com,"Life sciences, healthcare",$1.8B,N/A,2,N/A,N/A,"Spun out from Quintiles",,"Kenan-Flagler recruiting"
Frontier Growth,Private Equity,Charlotte,NC,Charlotte/Southeast,frontiergrowth.com,"Software, tech-enabled business services",$1.8B,N/A,2,N/A,N/A,,,"Fuqua recruiting"
Summit Park,Private Equity,Charlotte,NC,Charlotte/Southeast,summitparkllc.com,"Consumer, industrial growth, business services",N/A,"$4-15M EBITDA",2,N/A,N/A,"Lower middle-market focus",,
L Catterton,Private Equity,Greenwich,CT,Connecticut,lcatterton.com,Consumer-focused,$35B+,N/A,1,N/A,N/A,"Largest consumer-focused PE in world",,
Stone Point Capital,Private Equity,Greenwich,CT,Connecticut,stonepoint.com,Financial services,$40B+,N/A,1,N/A,N/A,"Major financial services specialist",,
Oak Hill Capital,Private Equity,Stamford,CT,Connecticut,oakhillcap.com,Multi-sector,$15B+,N/A,1,N/A,N/A,"Buyout and growth equity",,
TSG Consumer Partners,Private Equity,Stamford,CT,Connecticut,tsgconsumer.com,Consumer/retail,$10B+,N/A,1,N/A,N/A,"Stamford HQ",,
First Reserve,Private Equity,Greenwich,CT,Connecticut,firstreserve.com,Energy,$30B+,N/A,1,N/A,N/A,"Energy-focused PE pioneer",,
Olympus Partners,Private Equity,Stamford,CT,Connecticut,olympuspartners.com,"Manufacturing, business services",$10B+,N/A,1,N/A,N/A,"Stamford HQ",,
Greenbriar Equity Group,Private Equity,Greenwich,CT,Connecticut,greenbriarequity.com,Transportation/logistics,$5B+,N/A,1,N/A,N/A,"Greenwich HQ",,
Gridiron Capital,Private Equity,New Canaan,CT,Connecticut,gridironcapital.com,"Consumer, healthcare, industrial",$2B+,N/A,2,N/A,N/A,"Lower middle market",,
Clearview Capital,Private Equity,Stamford,CT,Connecticut,clearviewcap.com,Business services and healthcare,N/A,"$4-20M EBITDA",2,N/A,N/A,"150+ transactions",,
LongRange Capital,Private Equity,Stamford,CT,Connecticut,longrangecapital.com,Multi-sector,$1.5B,N/A,2,2019,N/A,"Founded 2019",,
Hamilton Robinson Capital,Private Equity,Stamford,CT,Connecticut,hamiltonrobinson.com,Family-owned businesses,N/A,N/A,2,N/A,N/A,"North America focus",,
Gemspring Capital,Private Equity,Westport,CT,Connecticut,gemspring.com,Multi-sector,$350M,N/A,2,N/A,N/A,,,
BHMS Investments,Private Equity,Westport,CT,Connecticut,bhmsinvestments.com,"Insurance services, business services",N/A,N/A,2,N/A,N/A,,,
Hamilton Lane,Private Equity,Conshohocken,PA,Philadelphia,hamiltonlane.com,Private markets broadly,$956B supervised,N/A,1,N/A,N/A,"Global private markets leader",,
LLR Partners,Private Equity,Philadelphia,PA,Philadelphia,llrpartners.com,"Tech, Healthcare, Financial Services",$5B+,N/A,1,N/A,N/A,"CoreDial, Rizing, Phreesia portfolio",,"Strong Wharton recruiting"
Susquehanna Growth Equity,Private Equity,Bala Cynwyd,PA,Philadelphia,sge.com,"B2B Software, Fintech, Healthcare IT",$2B+,N/A,1,N/A,N/A,"Backed by SIG, permanent capital",,
Graham Partners,Private Equity,Newtown Square,PA,Philadelphia,grahampartners.net,"Industrial technology, Manufacturing",$3B+,N/A,1,N/A,N/A,"Operational improvement focus",,
NewSpring Capital,Private Equity,Radnor,PA,Philadelphia,newspringcapital.com,"Healthcare, Tech, Diversified",$3B+,N/A,1,N/A,N/A,"250+ investments",,
Lovell Minnick Partners,Private Equity,Philadelphia,PA,Philadelphia,lmp.com,"Financial Services, Fintech",$3B+,N/A,1,N/A,N/A,"Growth-oriented specialist",,
FS Investments,Private Equity,Philadelphia,PA,Philadelphia,fsinvestments.com,"Credit, Private equity",$75B+,N/A,1,N/A,N/A,"Major alternative asset manager",,
Renovus Capital Partners,Private Equity,Philadelphia,PA,Philadelphia,renovuscapital.com,"Education, training, human capital",$2B+,N/A,1,N/A,N/A,"Knowledge and Talent industries specialist",,
Lorient Capital,Private Equity,Philadelphia,PA,Philadelphia,lorientcapital.com,"Direct care, healthcare technology",$500M,N/A,2,N/A,N/A,"Healthcare-focused",,
Roark Capital Group,Private Equity,Atlanta,GA,Atlanta,roarkcapital.com,"Franchise, restaurant, consumer","$37-41B",N/A,1,N/A,N/A,"Arby's, Dunkin', Orangetheory portfolio",,"Goizueta, GT recruiting"
MSouth Equity Partners,Private Equity,Atlanta,GA,Atlanta,msouthequity.com,"Business services, distribution, manufacturing",$700M+,N/A,1,N/A,N/A,,,"Goizueta recruiting"
Fulcrum Equity Partners,Private Equity,Atlanta,GA,Atlanta,fulcrumep.com,"Healthcare services, B2B SaaS",N/A,N/A,1,N/A,N/A,,,"Goizueta recruiting"
The White Oak Group,Private Equity,Atlanta,GA,Atlanta,thewhiteoakgroup.com,"Aerospace, defense, government tech",N/A,N/A,2,N/A,N/A,,,"Goizueta recruiting"
NRD Capital,Private Equity,Atlanta,GA,Atlanta,nrdcapital.com,"Franchise, consumer",N/A,N/A,2,N/A,N/A,,,"Goizueta recruiting"
TCP (Tech Capital Partners),Private Equity,Atlanta,GA,Atlanta,techcapitalpartners.com,B2B Software,N/A,N/A,2,N/A,N/A,,,"Goizueta recruiting"
SRM Equity Partners,Private Equity,Atlanta,GA,Atlanta,srmequity.com,"Healthcare, business/tech services",$350M,N/A,2,N/A,N/A,,,"Goizueta recruiting"
Cressey & Company,Private Equity,Nashville,TN,Nashville,cressey.com,"Healthcare services, healthcare IT",$2.1B+,N/A,1,N/A,N/A,,,"Owen recruiting"
Council Capital,Private Equity,Nashville,TN,Nashville,councilcap.com,"Healthcare services, healthcare IT",N/A,N/A,1,N/A,N/A,,,"Owen recruiting"
Pharos Capital Group,Private Equity,Nashville,TN,Nashville,pharosfunds.com,Healthcare services,N/A,"$25-50M investments",2,N/A,N/A,,,"Owen recruiting"
Whistler Capital Partners,Private Equity,Nashville,TN,Nashville,whistlercp.com,"Healthcare, tech-enabled services",$1.8B+,N/A,1,N/A,N/A,,,"Owen recruiting"
Petra Capital Partners,Private Equity,Nashville,TN,Nashville,petracapital.com,Healthcare services,N/A,N/A,2,N/A,N/A,"SBIC fund",,"Owen recruiting"
Claritas Capital,Private Equity,Nashville,TN,Nashville,claritascapital.com,Healthcare,N/A,N/A,2,N/A,N/A,,,"Owen recruiting"
LFM Capital,Private Equity,Nashville,TN,Nashville,lfmcapital.com,"Manufacturing, industrial services",$1B+,N/A,2,N/A,N/A,,,"Owen recruiting"
Shore Capital Partners (Nashville),Private Equity,Nashville,TN,Nashville,shorecp.com,Healthcare services,$1B+,N/A,2,N/A,N/A,"Chicago-based with Nashville office",,"Owen recruiting"
Incline Equity Partners,Private Equity,Pittsburgh,PA,Pittsburgh,inclineequity.com,"Distribution, manufacturing, services",$2.5B+,N/A,1,N/A,N/A,,,"Tepper recruiting"
Tecum Capital Partners,Private Equity,Pittsburgh,PA,Pittsburgh,tecumcap.com,"Precision manufacturing, distribution",$750M+,N/A,2,N/A,N/A,,,"Tepper recruiting"
Stonewood Capital,Private Equity,Pittsburgh,PA,Pittsburgh,stonewoodcap.com,"Manufacturing, assembly, distribution",N/A,N/A,2,N/A,N/A,,,"Tepper recruiting"
Junction Equity,Private Equity,Pittsburgh,PA,Pittsburgh,junctionequity.com,"Business services, manufacturing",N/A,N/A,2,N/A,N/A,,,"Tepper recruiting"
Calibre Group,Private Equity,Pittsburgh,PA,Pittsburgh,calibregroup.com,"Metals, manufacturing, defense",N/A,N/A,2,N/A,N/A,,,"Tepper recruiting"
Continuim Equity Partners,Private Equity,Pittsburgh,PA,Pittsburgh,continuimequity.com,Industrial/manufacturing,N/A,N/A,2,N/A,N/A,,,"Tepper recruiting"
Camden Partners,Private Equity,Baltimore,MD,Baltimore,camdenpartners.com,"Education, Business Services, Healthcare",$1B+,N/A,1,N/A,N/A,"Towne Park exit to TA Associates",,
ABS Capital Partners,Private Equity,Baltimore,MD,Baltimore,abscapital.com,"B2B Software, Tech-enabled Services",$2.5B+ invested,N/A,1,N/A,N/A,"130+ companies over 30 years",,
Providence Equity Partners,Private Equity,Providence,RI,Providence,provequity.com,"Media, Communications, Education, Tech",$31B+,N/A,1,N/A,N/A,"Pioneer of sector-focused PE; 170+ companies",,
Nautic Partners,Private Equity,Providence,RI,Providence,nautic.com,"Healthcare, Business Services",$2.5B+,N/A,1,N/A,N/A,"Middle-market focus",,
Ironwood Capital,Private Equity,Avon,CT,Hartford,ironwoodcap.com,Middle-market junior capital,$1B+ invested,N/A,2,N/A,N/A,"100+ businesses",,
Bridgewater Associates,Hedge Fund,Westport,CT,Connecticut,bridgewater.com,"Global Macro, Risk Parity","$92-141B",N/A,1,N/A,N/A,"Ray Dalio; world's largest HF",,"Recruits from Ivy League"
Verition Fund Management,Hedge Fund,Greenwich,CT,Connecticut,veritionfund.com,Multi-Strategy,$107B,N/A,1,N/A,N/A,"Nicholas Maounis; fastest-growing",,
AQR Capital Management,Hedge Fund,Greenwich,CT,Connecticut,aqr.com,Quantitative/Factor,"$63-132B",N/A,1,N/A,N/A,"Cliff Asness (Goldman/UChicago PhD)",,"Wharton, UChicago Booth recruiting"
Tudor Investment Corp,Hedge Fund,Stamford,CT,Connecticut,N/A,Global Macro,$63B,N/A,1,N/A,N/A,"Paul Tudor Jones",,
Hudson Bay Capital,Hedge Fund,Greenwich,CT,Connecticut,hudsonbaycapital.com,"Event-Driven, Multi-Strategy",$34B,N/A,1,N/A,N/A,"Sander Gerber; CT subsidies",,
Paloma Partners,Hedge Fund,Greenwich,CT,Connecticut,palomapartners.com,"Multi-Strategy, Quant","$20-33B",N/A,1,N/A,N/A,"Donald Sussman; D.E. Shaw seeder",,
Silver Point Capital,Hedge Fund,Greenwich,CT,Connecticut,silverpointcap.com,Credit/Distressed,"$30-42B",N/A,1,N/A,N/A,"Goldman Sachs alumni",,
Lone Pine Capital,Hedge Fund,Greenwich,CT,Connecticut,lonepinecap.com,Fundamental L/S Equity,"$23-29B",N/A,1,N/A,N/A,"Tiger Cub (Stephen Mandel)",,
Viking Global Investors,Hedge Fund,Greenwich,CT,Connecticut,vikingglobal.com,Fundamental L/S,"$25-27B",N/A,1,N/A,N/A,"Tiger Cub (Andreas Halvorsen)",,
Point72 Asset Management,Hedge Fund,Stamford,CT,Connecticut,point72.com,Multi-Strategy,$41B,N/A,1,N/A,N/A,"Steve Cohen; Academy program",,"Yale SOM, UConn recruiting"
WorldQuant,Hedge Fund,Old Greenwich,CT,Connecticut,worldquant.com,Quant/Statistical Arb,"$9-23B",N/A,1,N/A,N/A,"WorldQuant University; International Quant Championship",,
Strategic Value Partners,Hedge Fund,Greenwich,CT,Connecticut,svpglobal.com,Distressed,$21B+,N/A,1,N/A,N/A,,,
Graham Capital Management,Hedge Fund,Rowayton,CT,Connecticut,grahamcapital.com,Global Macro,"$18-20B",N/A,1,N/A,N/A,,,
Ellington Management,Hedge Fund,Old Greenwich,CT,Connecticut,ellington.com,MBS/Structured Credit,$10B+,N/A,1,N/A,N/A,,,
Kensico Capital,Hedge Fund,Greenwich,CT,Connecticut,kensico.com,Fundamental Value,$10B+,N/A,1,N/A,N/A,,,
Fermat Capital,Hedge Fund,Westport,CT,Connecticut,fermatcap.com,Insurance-Linked Securities,$6.3B,N/A,2,N/A,N/A,,,
Aristeia Capital,Hedge Fund,Greenwich,CT,Connecticut,aristeiacapital.com,Relative Value/Credit,$5B+,N/A,2,N/A,N/A,,,
Contrarian Capital,Hedge Fund,Greenwich,CT,Connecticut,N/A,Distressed/Credit,$5B+,N/A,2,N/A,N/A,,,
Gramercy Funds,Hedge Fund,Greenwich,CT,Connecticut,N/A,Emerging Markets,$5.7B,N/A,2,N/A,N/A,,,
Blue Harbour Group,Hedge Fund,Greenwich,CT,Connecticut,blueharbourgroup.com,Activist/PE-Style,$3B,N/A,2,N/A,N/A,,,
Sageview Capital,Hedge Fund,Greenwich,CT,Connecticut,sageviewcapital.com,Growth Equity/Tech,$1.2B+,N/A,2,N/A,N/A,,,
Perryridge Capital,Hedge Fund,Connecticut,CT,Connecticut,N/A,L/S Equity,N/A,N/A,3,2024,N/A,"2024 LAUNCH (ex-Lone Pine)",,
33 Capital Management,Hedge Fund,Connecticut,CT,Connecticut,N/A,L/S,N/A,N/A,3,2024,N/A,"2024 LAUNCH (ex-Soros)",,
Citadel,Hedge Fund,Miami,FL,South Florida,citadel.com,Multi-strategy,$59B+,N/A,1,N/A,N/A,"Ken Griffin; HQ moved from Chicago 2022",,"Hiring aggressively in Miami"
Elliott Management,Hedge Fund,West Palm Beach,FL,South Florida,elliottmgmt.com,Activist investing,~$70B,N/A,1,N/A,N/A,"Paul Singer; HQ moved from NYC 2020",,
Point72 Asset Management (FL),Hedge Fund,Miami/WPB,FL,South Florida,point72.com,Multi-Strategy,$35B+,N/A,1,N/A,N/A,"60 seats Miami, 20 WPB (2021 expansion)",,
Millennium Management,Hedge Fund,Miami/WPB,FL,South Florida,mlp.com,Multi-strategy,$52B,N/A,1,N/A,N/A,"~500 seats split between Miami and WPB",,
D1 Capital Partners,Hedge Fund,Miami,FL,South Florida,d1cap.com,Crossover investing,$20B+,N/A,1,2021,N/A,"Dan Sundheim; Tiger Cub",,
Balyasny Asset Management,Hedge Fund,Miami,FL,South Florida,balyasnyam.com,Multi-strategy,$21B+,N/A,1,N/A,N/A,"Expanded from Chicago 2021; hundreds of employees",,
ExodusPoint Capital,Hedge Fund,North Palm Beach,FL,South Florida,exoduspoint.com,Multi-strategy,$10B+,N/A,1,2021,N/A,"Mark Mandell",,
Schonfeld Strategic Advisors,Hedge Fund,Miami,FL,South Florida,schonfeld.com,Multi-manager,$14B+,N/A,1,N/A,N/A,"~100 seats in Miami",,
Aurelius Capital,Hedge Fund,South Florida,FL,South Florida,N/A,Distressed,$3B+,N/A,2,N/A,N/A,"HQ moved from NYC 2022",,
BlueCrest Capital,Hedge Fund,Miami,FL,South Florida,bluecrest.com,Multi-strategy,$10B+,N/A,2,N/A,N/A,"Post-2020 move from London/CT",,
BlockTower Capital,Hedge Fund,Miami,FL,South Florida,blocktower.com,Crypto/digital assets,~$500M,N/A,2,N/A,N/A,"HQ relocated from NYC 2021",,
ARK Investment Management,Hedge Fund,St. Petersburg,FL,South Florida,ark-invest.com,Disruptive innovation,$15B+,N/A,1,N/A,N/A,"Cathie Wood; HQ moved from NYC 2021",,
Voloridge Investment Management,Hedge Fund,Jupiter,FL,South Florida,voloridge.com,Quant/systematic,$8B+,N/A,1,N/A,N/A,,,
Graham Capital Management (WPB),Hedge Fund,West Palm Beach,FL,South Florida,grahamcapital.com,Systematic macro,$18B+,N/A,1,N/A,N/A,,,
Wexford Capital,Hedge Fund,West Palm Beach,FL,South Florida,wexfordcap.com,Multi-strategy,$3B+,N/A,2,N/A,N/A,"Energy and distressed focus",,
III Capital Management,Hedge Fund,Boca Raton,FL,South Florida,N/A,Multi-strategy,$1B+,N/A,2,N/A,N/A,,,
Baupost Group,Hedge Fund,Boston,MA,Boston/New England,baupost.com,Value/Fundamental,~$27B+,N/A,1,N/A,N/A,"Seth Klarman",,
Arrowstreet Capital,Hedge Fund,Boston,MA,Boston/New England,arrowstreetcapital.com,Quantitative,$100B+,N/A,1,N/A,N/A,"Global equity quant",,
Adage Capital Management,Hedge Fund,Boston,MA,Boston/New England,adagecapital.com,Long/short equity,$20B+,N/A,1,N/A,N/A,"Harvard Management alumni",,
Convexity Capital,Hedge Fund,Boston,MA,Boston/New England,convexitycapital.com,Multi-strategy,$10B+,N/A,1,N/A,N/A,"Jack Meyer (ex-Harvard endowment CIO)",,
Acadian Asset Management,Hedge Fund,Boston,MA,Boston/New England,acadian-asset.com,Quantitative,$100B+,N/A,1,N/A,N/A,"Systematic global",,
PanAgora Asset Management,Hedge Fund,Boston,MA,Boston/New England,panagora.com,Quantitative,$45B+,N/A,1,N/A,N/A,"Bottom-up + top-down quant",,
GMO,Hedge Fund,Boston,MA,Boston/New England,gmo.com,Value/Fundamental,$60B+,N/A,1,N/A,N/A,"Jeremy Grantham",,
Alyeska Investment Group,Hedge Fund,Boston,MA,Boston/New England,alyeskainv.com,Event-driven,$10B+,N/A,1,N/A,N/A,"Fundamental + quant hybrid",,
Bracebridge Capital,Hedge Fund,Boston,MA,Boston/New England,N/A,Fixed Income/Macro,$10B+,N/A,1,N/A,N/A,"Global fixed income",,
Sands Capital,Hedge Fund,Arlington,VA,DC/Mid-Atlantic,sandscapital.com,"Growth equity, Public/Private",$59B,N/A,1,N/A,N/A,,,
The RockCreek Group,Hedge Fund,Washington,DC,DC/Mid-Atlantic,therockcreekgroup.com,"Multi-asset, Sustainable",$15B+,N/A,1,N/A,N/A,,,
Strategic Investment Group,Hedge Fund,Bethesda,MD,DC/Mid-Atlantic,strategicgroup.com,"OCIO, Multi-asset",$50B+,N/A,1,N/A,N/A,,,
EJF Capital,Hedge Fund,Arlington,VA,DC/Mid-Atlantic,ejfcap.com,Specialty Finance,$4B+,N/A,2,N/A,N/A,,,
Flagship Pioneering,Venture Capital,Cambridge,MA,Boston/New England,flagshippioneering.com,"Life Sciences, Biotech",N/A,Seed/Company creation,1,N/A,N/A,"Created Moderna",,
Third Rock Ventures,Venture Capital,Boston,MA,Boston/New England,thirdrockventures.com,"Biotech, Life Sciences",N/A,Seed/Series A,1,N/A,N/A,"Sage Therapeutics, Editas Medicine portfolio",,
Atlas Venture,Venture Capital,Cambridge,MA,Boston/New England,atlasventure.com,Biotech,N/A,Seed-led,1,N/A,N/A,"30+ years; venture creation",,
RA Capital Management,Venture Capital,Boston,MA,Boston/New England,racap.com,Life Sciences,$20B+,All stages to post-IPO,1,N/A,N/A,"Backed Moderna",,
F-Prime Capital,Venture Capital,Cambridge,MA,Boston/New England,fprimecapital.com,"Life Sciences, Healthcare IT",N/A,Early to growth,1,N/A,N/A,"Fidelity family office affiliate",,
Polaris Partners,Venture Capital,Boston,MA,Boston/New England,polarispartners.com,"Healthcare, Software, Biotech",N/A,Multi-stage,1,N/A,N/A,"Deep biotech expertise",,
5AM Ventures,Venture Capital,Boston,MA,Boston/New England,5amventures.com,Life Sciences,N/A,Early stage,1,N/A,N/A,"Next-gen biotech builders",,
MPM Capital,Venture Capital,Boston,MA,Boston/New England,mpmcapital.com,Life Sciences,N/A,Multi-stage,1,N/A,N/A,"Global biopharma investor",,
