Firm Name,Category,City,State,Region,Website,Focus/Sector,AUM/Fund Size,Deal Size/Criteria,Priority,Founded,Team Size,Description,Contact Email,UW Foster Relevance,Notes
Alkali Partners,Investment Banking,Portland,OR,PNW,alkalipartners.com,"Technology (SaaS, InsurTech)",N/A,Boutique tech IB,3,N/A,N/A,"M&A advisory and capital raising",,Low,
Paulson Investment Company,Investment Banking,Portland,OR,PNW,paulsoninvestment.com,General middle-market,"$1.2B+ raised","175+ offerings",3,1970,N/A,"Small-cap IPOs and corporate finance",,Low,
Deal Capital Partners,Investment Banking,Portland,OR,PNW,investmentbank.com/portland,Lower middle-market M&A,N/A,"$1M-$100M revenue",3,N/A,N/A,,,Low,
Piper Group International,Investment Banking,Portland,OR,PNW,N/A,Middle-market sell-side,N/A,National,3,N/A,N/A,"40+ years old",,Low,
Bracken Lane Partners,Investment Banking,Portland,OR,PNW,brackenlanepartners.com,M&A boutique,N/A,N/A,3,N/A,N/A,,,Low,
Orca Capital,Investment Banking,Portland,OR,PNW,N/A,M&A advisory,N/A,N/A,3,N/A,N/A,"Senior principals-led",,Low,
Qatalyst Partners,Investment Banking,San Francisco,CA,Bay Area,qatalyst.com,Elite tech M&A,N/A,"Multi-billion dollar tech deals",1,2008,~50,"Founded by Frank Quattrone; LinkedIn, Skype sales",,Low,"Very selective; hires from Stanford, Berkeley"
FT Partners,Investment Banking,San Francisco,CA,Bay Area,ftpartners.com,FinTech exclusive,N/A,"FinTech startups/unicorns",1,~2002,200+,"Only IB focused exclusively on fintech; ex-Goldman bankers",,Low,"Actively recruits analysts and MBAs"
Union Square Advisors,Investment Banking,San Francisco,CA,Bay Area,usadvisors.com,Technology,N/A,"Public/private tech companies",2,2007,40-50,"Mid-market IB",,Low,"Hires MBAs from Wharton, Columbia, Haas"
Vista Point Advisors,Investment Banking,San Francisco,CA,Bay Area,vistapointadvisors.com,Software/Internet,N/A,"Founder-led software",2,N/A,N/A,"Sell-side only",,Low,
Telegraph Hill Advisors,Investment Banking,San Francisco,CA,Bay Area,telehilladvisors.com,"AI/ML, Cloud, Cyber",N/A,Emerging tech,2,N/A,N/A,"M&A and capital raising",,Low,
Nfluence Partners,Investment Banking,San Francisco,CA,Bay Area,nfluencepartners.com,TMT,N/A,"EdTech, HR Tech, Digital Health",2,2011,N/A,,,Low,
Arbor Advisors,Investment Banking,San Francisco,CA,Bay Area,arboradvisors.com,Tech,N/A,"$10-100M revenue",2,N/A,N/A,"Mid-market tech companies",,Low,
Windsor Drake,Investment Banking,San Francisco,CA,Bay Area,windsordrake.com,SaaS/Tech,N/A,High-growth tech,2,N/A,N/A,"Sell-side M&A",,Low,
Aquilo Partners,Investment Banking,San Francisco,CA,Bay Area,aquilopartners.com,Life Sciences,N/A,"M&A, capital raising, partnerships",2,N/A,N/A,"20+ years",,Low,
Piper Sandler Healthcare,Investment Banking,San Francisco,CA,Bay Area,pipersandler.com,Healthcare,N/A,"Tools/diagnostics, biopharma",2,N/A,N/A,"100+ transactions",,Low,
Stifel Healthcare,Investment Banking,San Francisco,CA,Bay Area,stifelinstitutional.com,Global Healthcare,"$79.1B raised","225+ companies",2,N/A,47,,,Low,
Wood Warren,Investment Banking,San Francisco,CA,Bay Area,woodwarren.com,Food/Bev/Agriculture,N/A,Middle-market,2,1991,N/A,,,Low,
Woodside Capital Partners,Investment Banking,Redwood City,CA,Bay Area,woodsidecap.com,Technology,N/A,Tech M&A and capital raising,2,N/A,N/A,,,Low,
Back Bay Life Science Advisors,Investment Banking,San Francisco,CA,Bay Area,bblsa.com,BioPharma/MedTech,"$23B+ transaction experience",N/A,2,N/A,N/A,,,Low,
Architect Partners,Investment Banking,Palo Alto,CA,Bay Area,N/A,"Tech M&A (fintech, cybersecurity)",N/A,N/A,3,N/A,~10,"Ex-big bank tech bankers",,Low,"Hires interns from Stanford, Santa Clara"
Stifel Technology,Investment Banking,"SF/Seattle",CA,Bay Area,N/A,"SaaS, semiconductors",N/A,Mid-sized team,2,N/A,N/A,"Former Pacific Crest Securities",,Low,"Often recruits analysts from West Coast schools"
Houlihan Lokey,Investment Banking,Century City,CA,Los Angeles,hl.com,"M&A, Restructuring, Media",N/A,"#1 Global M&A Restructuring",1,1972,"~2,500","Top-tier mid-market IB",,Low,"Actively hires from UCLA Anderson, USC Marshall"
Salem Partners,Investment Banking,Los Angeles,CA,Los Angeles,salempartners.com,Media/Entertainment,N/A,LA boutique,2,N/A,~50,"Specialty media practice",,Low,
Intrepid Investment Bankers,Investment Banking,Los Angeles,CA,Los Angeles,intrepidib.com,Middle-market M&A,N/A,"$25M-$1B valuations",2,N/A,50+,"MUFG partnership",,Low,"Hires from UCLA, Pepperdine"
Montminy & Co.,Investment Banking,Los Angeles,CA,Los Angeles,montminyco.com,"Consumer, Food, Lodging, Tech",N/A,Mergers Alliance member,2,2009,N/A,"30-year advisory heritage",,Low,
FocalPoint Partners (B. Riley),Investment Banking,Los Angeles,CA,Los Angeles,focalpointllc.com,"Aerospace, Industrials, Healthcare","$17B+ closed",N/A,2,2002,N/A,"Acquired by B. Riley 2022",,Low,
B. Riley Financial,Investment Banking,Woodland Hills,CA,Los Angeles,brileyfin.com,Full-service middle-market,N/A,"NASDAQ: RILY",2,N/A,"1,000+","IB, restructuring, wealth management",,Low,"Recruits from California schools"
Telos Advisors,Investment Banking,Los Angeles,CA,Los Angeles,telosadvisors.com,"Digital Media, eCommerce",N/A,N/A,3,N/A,~15,"Advised Warner Bros. Discovery",,Low,
Solganick & Co.,Investment Banking,Los Angeles,CA,Los Angeles,solganick.com,"Software, IT Services","$20B+ in transactions",N/A,2,2009,~20,,,Low,
ROTH Capital Partners,Investment Banking,Newport Beach,CA,Los Angeles,roth.com,"Healthcare, Biotech, Tech","$100.5B+ through 2,300+ deals",N/A,2,1984,235+,,,Low,"Recruits from UC schools"
AGRA Capital Advisors,Investment Banking,Los Angeles,CA,Los Angeles,agracapital.com,"Healthcare, Fintech",N/A,"$5M-$150M transactions",3,N/A,N/A,,,Low,
Trinity Capital LLC,Investment Banking,Los Angeles,CA,Los Angeles,N/A,"M&A, Restructuring, Valuation","$10B+ since 2000","500+ transactions",2,N/A,N/A,,,Low,
Moelis & Company,Investment Banking,Los Angeles,CA,Los Angeles,moelis.com,"M&A, Restructuring",N/A,Global boutique,1,2007,~900,"Media/entertainment and real estate in LA",,Low,"Recruits heavily from MBA programs"
Imperial Capital,Investment Banking,Los Angeles,CA,Los Angeles,imperialcapital.com,"Aerospace/defense, consumer",N/A,Full-service middle-market,2,N/A,~200,,,Low,"Targets USC, UCLA, UCI"
Rainier Partners,Private Equity,Seattle,WA,PNW,rainierpartners.com,Services businesses,$375M+,"Business, consumer, industrial, financial services",2,2019,10-15,"Lower middle-market PE; proprietary 'SUMMIT' value-creation playbook",,Direct,"Has hired pre-MBA analysts and post-MBA associates; UW MBA alumni on team"
Pike Street Capital,Private Equity,Seattle,WA,PNW,pikestreetcapital.com,"Industrial tech, manufacturing",$237M Fund I,"$10-40M equity; $30M-100M EV",2,2017,8-10,"Mid-market growth buyout",,Moderate,"Founders connected to Dartmouth Tuck"
NCA Partners,Private Equity,Seattle,WA,PNW,nwcap.com,Multiple sectors,$200M+ invested,"$25M-$250M EV",2,1992,N/A,,,Low,
Westward Partners,Private Equity,Seattle,WA,PNW,westwardpartnersllc.com,"Business services, consumer",~$250M,"$20M-$500M revenue",2,2010,~6,"34 investments, 7 exits; LMM focus",,Moderate,"Hires pre-MBA associates from regional IB; values MBA hires with Northwest ties"
Frazier Healthcare Partners,Private Equity,Seattle,WA,PNW,frazierhealthcare.com,Healthcare PE/VC,~$4.8B,"$50M-$300M equity",1,1991,60+,"Sector leader; Pharmacyclics, PCI Pharma portfolio",,High,"Actively hires MBA interns and post-MBA associates via on-campus interviews"
Montlake Capital,Private Equity,Seattle,WA,PNW,N/A,"Business products, consumer",Growth equity,"$5M-$50M revenue; $1M-$10M EBITDA",3,1999,4-5,"Growth-stage focus",,Moderate,"Occasionally takes interns from UW, Seattle U MBAs"
Flying Fish Partners,Venture Capital,Seattle,WA,PNW,N/A,AI/ML startups,~$80M Fund II,"Early-stage",3,2017,3,"AI and machine learning focus; Picnic investment",,Low,"May take MBA interns; past interns from UW"
Talon Private Capital,Private Equity,Bellevue,WA,PNW,talonprivate.com,Real estate PE,$1B+ invested,"Office, multifamily, mixed-use",2,N/A,N/A,"21%+ avg IRR",,Low,
WestRiver Group,Private Equity,Kirkland,WA,PNW,N/A,"Tech, life sciences, entertainment",N/A,"VC, PE, and credit hybrid",2,2002,N/A,"Erik Anderson (UW alumnus); Talespin investment",,Moderate,"Small core team; hires via networks"
Evergreen Pacific Partners,Private Equity,Seattle,WA,PNW,N/A,"Manufacturing, packaging, services",$425M Fund II,Mid-market buyouts,2,2003,~10,"Washington's largest home-grown PE",,Low,"Now possibly in harvesting mode"
Columbia Pacific Advisors,Private Equity,Seattle,WA,PNW,N/A,"Real estate, healthcare, venture",N/A,Multi-strategy alternative,3,N/A,N/A,,,Low,
Arable Capital Partners,Private Equity,Bellevue,WA,PNW,N/A,Agribusiness,N/A,Family-owned partnerships,3,N/A,N/A,,,Low,
Keeler Investments,Venture Capital,Seattle,WA,PNW,N/A,Sustainable economy,N/A,Pre-seed/seed,3,N/A,N/A,"Family office investment arm",,Low,"Potential for internships"
Voyager Capital,Venture Capital,Seattle/Portland,WA,PNW,voyagercapital.com,"Software, analytics, cloud",Early-stage,Seed-Series A,2,N/A,N/A,"Pacific Northwest focus",,Moderate,
Alliance of Angels,Venture Capital,Seattle,WA,PNW,N/A,PNW startups,~$6M seed fund,"Angel/seed",3,N/A,N/A,"140+ angels; small management team",,Low,"Sometimes takes MBA interns for due diligence"
Endeavour Capital,Private Equity,Portland,OR,PNW,endeavour.com,"Consumer, healthcare, industrials",~$500M funds,"$25M-$250M EV",1,1991,~20,"Flagship PE firm of Oregon; family/founder-owned focus",,Low,"Hires pre-MBA from West Coast IBs; MBAs from Stanford, Wharton for VP roles"
Riverlake Partners,Private Equity,Portland,OR,PNW,riverlakepartners.com,"Industrial, consumer manufacturing",Lower MM,"$15-$60M EV; $5-30M equity",3,2003,5-6,,,Low,
Vista Ridge Capital Partners,Private Equity,Portland,OR,PNW,vistaridgecapital.com,Diversified private capital,Fund of funds,PE funds and co-investments,3,2009,N/A,,,Low,
Gorge Holdings,Private Equity,Portland,OR,PNW,N/A,Oregon-focused,N/A,Regional PE investor,3,N/A,N/A,,,Low,
Madrona Venture Group,Venture Capital,Seattle,WA,PNW,madrona.com,"AI, ML, cloud, enterprise software",$2B+ invested,Seed-Growth,1,1995,~30,"Top regional VC; Amazon, Smartsheet, Redfin portfolio",,Direct,"Partners teach seminars at Foster; engages with venture club; hires MBA interns from UW Foster, Stanford"
Pioneer Square Labs (PSL),Venture Capital,Seattle,WA,PNW,psl.com,"Startup studio + fund",$180M Ventures + $20M Studio,Seed,2,2015,N/A,"33+ companies spun out; generative AI focus",,Moderate,"May hire MBA interns with startup experience"
Ignition Partners,Venture Capital,Bellevue,WA,PNW,N/A,Enterprise software,Early-stage,Seed-Series A,3,2000,N/A,"Co-founded by Microsoft alumni; winding down",,Low,
Maveron,Venture Capital,Seattle/SF,WA,PNW,maveron.com,Consumer brands,N/A,Seed-Series A,2,N/A,N/A,"Co-founded by Howard Schultz",,Low,
FUSE,Venture Capital,Seattle,WA,PNW,N/A,B2B software,$500K-$5M checks,Seed-A,2,N/A,N/A,"Intelligent apps, future of work",,Low,
Tola Capital,Venture Capital,Seattle,WA,PNW,tolacapital.com,"Enterprise software, data-driven tech",$5M-$20M checks,Growth,2,N/A,N/A,,,Low,
Founders' Co-op,Venture Capital,Seattle,WA,PNW,N/A,Pacific Northwest tech startups,Seed,Seed,3,N/A,N/A,,,Low,
Capria Ventures,Venture Capital,Seattle,WA,PNW,capria.vc,"AI, AgTech, Climate, EdTech, FinTech",Impact VC,Multi-stage,2,N/A,N/A,"127 portfolio companies",,Low,
Echo Health Ventures,Venture Capital,Seattle,WA,PNW,N/A,Healthcare,Healthcare,Multi-stage,2,N/A,N/A,"33 healthcare portfolio companies",,Low,
Incisive Ventures,Venture Capital,Seattle,WA,PNW,N/A,Technology,Pre-seed,Pre-seed,3,N/A,N/A,"59 portfolio companies",,Low,
Keiretsu Capital,Venture Capital,Seattle,WA,PNW,N/A,"CleanTech, HealthTech, FinTech",Angel/seed,Seed,3,N/A,N/A,"134 companies",,Low,
M12 (Microsoft Ventures),Corporate Venture,Redmond,WA,PNW,m12.vc,Enterprise software,N/A,Series A-D,1,N/A,N/A,"AI/ML, cloud, cybersecurity; 100+ companies, 15 unicorns",,Direct,"Foster interns have placed here"
Amazon Alexa Fund,Corporate Venture,Seattle,WA,PNW,N/A,"AI, voice tech, IoT",N/A,Multi-stage,1,N/A,N/A,"82 portfolio companies",,Moderate,
Climate Pledge Fund,Corporate Venture,Seattle,WA,PNW,N/A,Sustainable tech,N/A,"$2M-$50M investments",2,N/A,N/A,"Rivian, Redwood Materials investments",,Low,
W Fund,Venture Capital,Seattle,WA,PNW,N/A,UW spinouts,~$20M,N/A,1,N/A,N/A,"Managed by UW Center for Commercialization",,Direct,"Direct UW affiliation"
Pack Ventures,Venture Capital,Seattle,WA,PNW,N/A,UW spinouts and alumni,"$10M+ Fund I; $30M target Fund II",N/A,1,N/A,N/A,"29 companies invested",,Direct,"Explicit UW partnership with CoMotion Labs"
WRF Capital,Venture Capital,Seattle,WA,PNW,N/A,WA-based startups,~$5M annual,N/A,1,1996,N/A,"132 companies since 1996",,Direct,"Invests in UW spinouts"
Vulcan Capital,Family Office,Seattle,WA,PNW,N/A,"Technology, life sciences, media",Multi-billion,Late-stage VC/PE hybrid,2,N/A,N/A,"Paul Allen's family office investment arm",,Low,"Hires experienced investors; occasionally post-MBAs"
Oregon Venture Fund,Venture Capital,Portland,OR,PNW,oregonventurefund.com,Sector-agnostic,$250M under management,Multi-stage,1,N/A,N/A,"Top 10% performing globally; 79 startups; Auth0, Inpria exits",,Low,
Portland Seed Fund,Venture Capital,Portland,OR,PNW,portlandseedfund.com,"Software, climate-tech, health",$40M+ across 5 funds,"Pre-seed, Seed",2,N/A,N/A,"200+ portfolio; Auth0, ESS Inc exits",,Low,"Fellowships for local MBA students"
Elevate Capital,Venture Capital,Portland,OR,PNW,elevate.vc,Diverse founders,Multi-fund,Seed,2,N/A,N/A,"First institutional VC targeting underserved entrepreneurs",,Low,
Seven Peaks Ventures,Venture Capital,Bend,OR,PNW,sevenpeaksventures.com,"Enterprise software, digital health, AI",$28M Fund II,Early-stage,2,N/A,N/A,"DocuSign founder partner",,Low,
Rogue Venture Partners,Venture Capital,Portland,OR,PNW,roguevp.com,N/A,Seed,"$1-5M deals",2,N/A,N/A,"52 investments; 18 acquisitions",,Low,
Cascade Seed Fund,Venture Capital,Portland/Bend,OR,PNW,cascadeseedfund.com,"Work transformation, healthcare, fintech",~$1.5M sweet spot,Seed,3,N/A,N/A,,,Low,
Stargazer Ventures,Venture Capital,Portland,OR,PNW,N/A,Early-stage startups,Early/seed,Seed,3,N/A,N/A,,,Low,
Archivist Capital,Venture Capital,Portland,OR,PNW,N/A,Technology companies,Early-stage,Early,3,N/A,N/A,,,Low,
Alpine Investors,Private Equity,San Francisco,CA,Bay Area,alpineinvestors.com,"Software, Services",$18.7B,"People-driven; 850+ investments",1,N/A,N/A,"9 flagship funds",,Low,
Genstar Capital,Private Equity,San Francisco,CA,Bay Area,gencap.com,"Financial svcs, software, healthcare",$40B+,Industry-focused middle-market,1,1988,N/A,"Recruits top MBA grads from Harvard, Stanford as Associates",,Low,
Francisco Partners,Private Equity,San Francisco,CA,Bay Area,franciscopartners.com,Technology,$45B+,"Tech-focused; Verifone, GoodRx",1,N/A,N/A,"Actively recruits MBA associates from Stanford, Berkeley",,Low,
Serent Capital,Private Equity,San Francisco,CA,Bay Area,serentcapital.com,Tech/Services,~$1.5B+,Lower middle-market,1,2008,~30,"Post-MBA Associate program; targets Haas, UCLA, BYU",,Low,
Turn/River Capital,Private Equity,San Francisco,CA,Bay Area,turnrivercapital.com,B2B Software,~$400M+,Growth engineering strategy,2,2012,N/A,,,Low,
Altamont Capital Partners,Private Equity,Palo Alto,CA,Bay Area,altamontcapital.com,"Industrials, services, franchising",$4B+,"Lower-middle-market; 45+ companies",2,2010,N/A,"Ex-Goldman PE professionals; hires from Stanford, Wharton",,Low,
Mainsail Partners,Private Equity,San Francisco,CA,Bay Area,mainsailpartners.com,Software/Services,~$400M,Growth-oriented,2,N/A,N/A,,,Low,
Sumeru Equity Partners,Private Equity,San Francisco,CA,Bay Area,sumeruequity.com,Technology,~$1.1B,Middle-market tech,2,2014,N/A,"Spun from Silver Lake",,Low,
San Francisco Equity Partners,Private Equity,San Francisco,CA,Bay Area,sfequitypartners.com,Consumer products,Consumer brands,"BruMate, Jane Iredale portfolio",2,N/A,N/A,,,Low,
TSG Consumer Partners,Private Equity,San Francisco,CA,Bay Area,tsgconsumer.com,Branded consumer,Multi-billion,Market specialist,2,N/A,N/A,,,Low,
Gryphon Investors,Private Equity,San Francisco,CA,Bay Area,gryphon-inv.com,Diversified,Middle-market,Strengthening middle-market,2,N/A,N/A,,,Low,
GI Partners,Private Equity,San Francisco,CA,Bay Area,gipartners.com,"Data infrastructure, PE, RE",Multi-billion,Operational excellence focus,2,N/A,N/A,,,Low,
Friedman Fleischer & Lowe,Private Equity,San Francisco,CA,Bay Area,fflpartners.com,Multi-sector,Middle-market,"Buyouts, growth equity",2,N/A,N/A,,,Low,
Golden Gate Capital,Private Equity,San Francisco,CA,Bay Area,goldengatecap.com,Multi-sector,Multi-billion,Buyout and growth equity,2,N/A,N/A,,,Low,
JH Partners,Private Equity,San Francisco,CA,Bay Area,jhpartners.com,Consumer,Middle-market,Consumer with growth potential,2,N/A,N/A,,,Low,
Luminate Capital Partners,Private Equity,San Francisco,CA,Bay Area,luminatecap.com,Software/IT Services,N/A,Software buyouts,2,N/A,N/A,,,Low,
Pacific Lake Partners,Private Equity,San Francisco,CA,Bay Area,pacificlake.com,Search funds,$175M Fund IV,"75+ search funds",1,2009,N/A,"Pioneer search fund investor",,Low,"Stanford GSB ecosystem"
Footbridge Partners,Private Equity,Bay Area,CA,Bay Area,footbridgepartners.com,Search funds,N/A,Collaborative search fund investor,2,N/A,N/A,,,Low,
Anacapa Partners,Private Equity,California,CA,Bay Area,N/A,Search funds,N/A,"20+ years experience",2,N/A,N/A,"Jeff Stevens founded",,Low,
Shamrock Capital Advisors,Private Equity,Los Angeles,CA,Los Angeles,shamrockcap.com,"Media, entertainment, content",$6.5B,"Roy Disney family; Growth VI: $1.6B",1,1978,N/A,,,Low,
Brentwood Associates,Private Equity,West LA,CA,Los Angeles,brentwood.com,"Consumer, restaurants",$2.5B+,"Zoe's Kitchen, Lazy Dog, Chicken Salad Chick",2,1972,N/A,"Hires occasionally from UCLA/USC",,Low,
Transom Capital Group,Private Equity,El Segundo,CA,Los Angeles,N/A,Operationally-focused,~$1B+,"Lower-middle-market; complex situations",2,2008,N/A,,,Low,
Highview Capital,Private Equity,Los Angeles,CA,Los Angeles,N/A,Transformational investing,~$700M deployed,"Family-office backed; evergreen",2,N/A,N/A,,,Low,
Marlin Equity Partners,Private Equity,El Segundo,CA,Los Angeles,marlinequity.com,"Technology, healthcare",Multi-billion,Business services focus,2,N/A,N/A,,,Low,
Aurora Capital Partners,Private Equity,Los Angeles,CA,Los Angeles,N/A,Middle-market buyouts,Multi-billion,Diversified,2,N/A,N/A,,,Low,
Pacific Avenue Capital Partners,Private Equity,Los Angeles,CA,Los Angeles,pacificavenuecapital.com,Corporate divestitures,Middle-market,"Carve-outs, complex situations",2,N/A,N/A,,,Low,
Caltius Equity Partners,Private Equity,Los Angeles,CA,Los Angeles,N/A,"Business services, industrial","$10-30M investments",N/A,3,1999,N/A,,,Low,
Century Park Capital Partners,Private Equity,Los Angeles,CA,Los Angeles,N/A,Profitable companies,Middle-market,"$20M-$100M revenue",3,N/A,N/A,,,Low,
Rockwood Equity Partners,Private Equity,Los Angeles,CA,Los Angeles,rockwoodequity.com,"B2B products, regulated industries",Lower MM,Industrial focus,3,N/A,N/A,,,Low,
Kingswood Capital,Private Equity,Los Angeles,CA,Los Angeles,N/A,Operational/financial change,N/A,Transformation focus,3,N/A,N/A,,,Low,
Solis Capital Partners,Private Equity,Southern CA,CA,Los Angeles,N/A,Organizational transformation,Lower MM,N/A,3,2002,N/A,,,Low,
First Round Capital,Venture Capital,San Francisco,CA,Bay Area,firstround.com,Founder-focused,$563M,"$1-5M checks",1,N/A,N/A,,,Low,
Initialized Capital,Venture Capital,San Francisco,CA,Bay Area,initialized.com,Earliest stages,N/A,Seed,1,N/A,N/A,"Garry Tan founded",,Low,
True Ventures,Venture Capital,San Francisco,CA,Bay Area,trueventures.com,Deep hardware,$3.8B+,Pre-Seed to A,1,N/A,N/A,,,Low,
Cowboy Ventures,Venture Capital,Palo Alto,CA,Bay Area,cowboy.vc,Seed,N/A,"Strong founder network",2,N/A,N/A,,,Low,
Forerunner Ventures,Venture Capital,San Francisco,CA,Bay Area,forerunnerventures.com,E-commerce/retail,$100M+,"Birchbox, Dollar Shave Club",2,N/A,N/A,,,Low,
Blumberg Capital,Venture Capital,San Francisco,CA,Bay Area,blumbergcapital.com,"FinTech, Enterprise, SaaS",N/A,"Fundbox, CoverHound",2,N/A,N/A,,,Low,
Liquid 2 Ventures,Venture Capital,San Francisco,CA,Bay Area,liquid2.vc,Seed,N/A,"Co-founded by Joe Montana",2,N/A,N/A,,,Low,
Menlo Ventures,Venture Capital,Menlo Park,CA,Bay Area,menlovc.com,Full-stack,Multi-billion,Seed through growth,1,N/A,N/A,,,Low,
Crosslink Capital,Venture Capital,San Francisco,CA,Bay Area,crosslinkcapital.com,Enterprise/consumer,$1.3B+,"Postmates, Chime",1,1989,N/A,,,Low,
CRV (Charles River Ventures),Venture Capital,San Francisco,CA,Bay Area,crv.com,"Power to the Person",Multi-billion,N/A,1,1970,N/A,,,Low,
Mayfield Fund,Venture Capital,Menlo Park,CA,Bay Area,mayfield.com,Emerging AI focus,Multi-billion,N/A,1,N/A,N/A,"Mayfield fellows program at Stanford",,Low,
Felicis Ventures,Venture Capital,Palo Alto,CA,Bay Area,felicis.com,"Credit Karma, Plaid",$239.6M,N/A,2,N/A,N/A,,,Low,
Emergence Capital,Venture Capital,San Mateo,CA,Bay Area,emcap.com,SaaS pioneer,N/A,"ServiceMax, Gusto",1,N/A,N/A,,,Low,
Better Tomorrow Ventures,Venture Capital,San Francisco,CA,Bay Area,btv.vc,FinTech focus,$140M,N/A,2,N/A,N/A,,,Low,
FIN VC,Venture Capital,San Francisco,CA,Bay Area,finvc.co,Financial services/tech,N/A,N/A,2,N/A,N/A,,,Low,
Flourish Ventures,Venture Capital,San Francisco,CA,Bay Area,flourishventures.com,Financial services innovation,N/A,N/A,2,N/A,N/A,,,Low,
Tribe Capital,Venture Capital,San Francisco,CA,Bay Area,tribecap.co,FinTech/Crypto,N/A,Data science-driven,2,N/A,N/A,,,Low,
DCVC (Data Collective),Venture Capital,San Francisco,CA,Bay Area,dcvc.com,"AI, sustainability, robotics",$1B+,N/A,1,N/A,N/A,,,Low,
Congruent Ventures,Venture Capital,San Francisco,CA,Bay Area,congruentvc.com,Early-stage climate tech,N/A,N/A,2,N/A,N/A,,,Low,
Obvious Ventures,Venture Capital,San Francisco,CA,Bay Area,obvious.com,World-positive investing,N/A,N/A,2,N/A,N/A,,,Low,
