Firm Name,Category,City,State,Region,Website,Focus/Sector,AUM/Fund Size,Deal Size/Criteria,Priority,Founded,Team Size,Description,Contact Email,Notes
Piper Sandler,Investment Banking,Minneapolis,MN,NYC,pipersandler.com,"Healthcare, Technology",N/A,"$50M-$1B",1,N/A,~1600,"Middle-Market; Deals $50M-$1B range",,
Baird,Investment Banking,Milwaukee,WI,NYC,rwbaird.com,Generalist,N/A,N/A,1,N/A,~4700,"Middle-Market; Strong PE placement",,
Raymond James,Investment Banking,St. Petersburg,FL,NYC,raymondjames.com,"Technology, M&A",N/A,N/A,1,N/A,~15000,"Middle-Market; Q1 2025 advisory revenue +92% YoY",,
Lincoln International,Investment Banking,Chicago,IL,NYC,lincolninternational.com,Generalist,N/A,N/A,1,N/A,~700,"Middle-Market; 130+ annual assignments",,
Harris Williams,Investment Banking,Richmond,VA,NYC,harriswilliams.com,Sell-side advisory,N/A,N/A,1,N/A,~400,"Middle-Market; Strong PE exit track record",,
Stifel,Investment Banking,St. Louis,MO,NYC,stifel.com,"Generalist, FIG (via KBW)",N/A,N/A,1,N/A,~9000,"Middle-Market; Miller Buckfire RX division",,
TD Cowen,Investment Banking,New York,NY,NYC,cowen.com,"Healthcare, Technology",N/A,N/A,1,N/A,~2000,"Middle-Market; TD Securities subsidiary since 2023",,
Guggenheim Securities,Investment Banking,New York,NY,NYC,guggenheimsecurities.com,"Restructuring, TMT",N/A,N/A,1,N/A,~2000+,"Middle-Market; Verizon $130B Vodafone stake",,Noted for collaborative culture
Oppenheimer,Investment Banking,New York,NY,NYC,oppenheimer.com,Generalist,N/A,N/A,1,N/A,~2900,"Middle-Market; $1.25B annual revenue",,
Cantor Fitzgerald,Investment Banking,New York,NY,NYC,cantor.com,Generalist,N/A,N/A,1,N/A,~5000+,Private partnership,,
Solomon Partners,Investment Banking,New York,NY,NYC,solomonpartners.com,"Consumer, Retail, Media, FIG",N/A,N/A,2,N/A,~129,Natixis affiliate,,
MidCap Advisors,Investment Banking,New York,NY,NYC,midcapadvisors.com,Lower middle-market,N/A,"$5M-$250M revenue",2,N/A,~20,Companies $5M-$250M revenue,,
LionTree,Investment Banking,New York,NY,NYC,liontree.com,"Media, Tech, Telecom",N/A,N/A,1,N/A,~200,"TMT Specialist; WarnerMedia/Discovery, Amazon/MGM",,
Raine Group,Investment Banking,New York,NY,NYC,raine.com,TMT Merchant Bank,$3.1B+,N/A,1,N/A,~150,TMT Specialist,,
Allen & Company,Investment Banking,New York,NY,NYC,allenco.com,"Media, Tech, Sports",N/A,N/A,1,N/A,~200,Sun Valley Conference host,,Very secretive; relationship-driven
Union Square Advisors,Investment Banking,New York,NY,NYC,usadvisors.com,Technology M&A,N/A,N/A,2,2007,~50,Tech M&A specialist since 2007,,
Leerink Partners,Investment Banking,New York,NY,NYC,leerink.com,"Biopharma, MedTech, HealthTech",N/A,N/A,1,N/A,~400,Healthcare Specialist,,
MTS Health Partners,Investment Banking,New York,NY,NYC,mtspartners.com,"Healthcare Services, MedTech",N/A,N/A,2,N/A,~30,Healthcare Specialist,,
Keefe Bruyette & Woods,Investment Banking,New York,NY,NYC,kbw.com,"Banks, Insurance, Asset Mgmt, Fintech",N/A,N/A,1,N/A,N/A,"FIG Specialist; #1 II All-America FIG rankings",,
Financo,Investment Banking,New York,NY,NYC,financo.com,"Retail, Consumer Products",N/A,N/A,2,N/A,N/A,Consumer/Retail Specialist,,
Berkery Noyes,Investment Banking,New York,NY,NYC,berkerynoyes.com,"Healthcare, Education, Software, Media",N/A,N/A,2,N/A,N/A,Consumer/Media Specialist,,
JEGI Clarity,Investment Banking,New York,NY,NYC,jegi.com,"Media, Marketing, Tech",N/A,N/A,2,N/A,N/A,Media/Tech Specialist,,
Tudor Pickering Holt,Investment Banking,New York,NY,NYC,tph.com,"Oil & Gas, Energy",N/A,N/A,2,N/A,N/A,Energy Specialist,,
Alvarez & Marsal,Restructuring,New York,NY,NYC,alvarezandmarsal.com,Restructuring,N/A,N/A,1,N/A,~7000+,"Big 3 RX; Lehman Brothers CRO",,
AlixPartners,Restructuring,New York,NY,NYC,alixpartners.com,Restructuring,N/A,N/A,1,N/A,~4500,"Big 3 RX; Hertz restructuring",,
FTI Consulting,Restructuring,New York,NY,NYC,fticonsulting.com,Restructuring,N/A,N/A,1,N/A,~7900,Big 3 RX; creditor-heavy NYC,,
Huron Consulting,Restructuring,New York,NY,NYC,huronconsultinggroup.com,Restructuring,N/A,N/A,2,N/A,~5600,Healthcare restructuring specialist,,
Ankura,Restructuring,New York,NY,NYC,ankura.com,Turnaround and restructuring,N/A,N/A,2,N/A,~1800,,,
Province,Restructuring,New York,NY,NYC,provincefirm.com,Restructuring,$11M bankruptcy fees H1 2024,N/A,2,N/A,~100,,,
TM Capital,Investment Banking,New York,NY,NYC,tmcapital.com,Generalist,N/A,N/A,2,N/A,N/A,Regional Boutique,,
Foros Group,Investment Banking,New York,NY,NYC,forosgroup.com,Generalist,N/A,N/A,2,N/A,N/A,Regional Boutique,,
Edgemont Capital,Investment Banking,New York,NY,NYC,edgemontcapital.com,"Business Services, Tech",N/A,N/A,2,N/A,N/A,Regional Boutique,,
Oberon Securities,Investment Banking,New York,NY,NYC,oberonsecurities.com,Generalist,N/A,N/A,2,N/A,N/A,Regional Boutique,,
Young America Capital,Investment Banking,New York,NY,NYC,youngamericacapital.com,Generalist,N/A,N/A,2,N/A,N/A,Regional Boutique,,
Lazard,Investment Banking,London,UK,London,lazard.com,"M&A, Restructuring",N/A,N/A,1,N/A,3000+ globally,Elite Boutique with London Office,,US MBA Recruiting: Yes active
Rothschild & Co,Investment Banking,London,UK,London,rothschildandco.com,"M&A, Debt Advisory",N/A,N/A,1,N/A,4000+ globally,Elite Boutique with London Office,,US MBA Recruiting: Yes
Evercore,Investment Banking,London,UK,London,evercore.com,"M&A, Restructuring",N/A,N/A,1,N/A,2400+ globally,"Elite Boutique; acquired Robey Warshaw 2025",,US MBA Recruiting: Yes active
Moelis & Company,Investment Banking,London,UK,London,moelis.com,"M&A, Restructuring",N/A,N/A,1,N/A,1000+,Elite Boutique with London Office,,US MBA Recruiting: Yes
PJT Partners,Investment Banking,London,UK,London,pjtpartners.com,"Restructuring, Advisory",N/A,N/A,1,N/A,1100+,Elite Boutique with London Office,,US MBA Recruiting: Yes
Perella Weinberg,Investment Banking,London,UK,London,pwpartners.com,"M&A, Restructuring",N/A,N/A,1,N/A,600+,Elite Boutique with London Office,,US MBA Recruiting: Yes
Centerview Partners,Investment Banking,London,UK,London,centerviewpartners.com,"M&A, Restructuring",N/A,N/A,1,N/A,500+,Elite Boutique with London Office,,US MBA Recruiting: Yes highly selective
Houlihan Lokey,Investment Banking,London,UK,London,hl.com,"Restructuring (#1), M&A",N/A,N/A,1,N/A,2600+,Elite Boutique with London Office,,US MBA Recruiting: Yes
Robey Warshaw,Investment Banking,London,UK,London,robeywarshaw.com,Large-cap UK M&A,N/A,N/A,1,N/A,~20,"UK Elite Boutique; HSBC SVB UK rescue, Chelsea FC sale",,"Acquired by Evercore"
Gleacher Shacklock,Investment Banking,London,UK,London,gleachershacklock.com,"M&A, Restructuring, Debt",N/A,N/A,1,N/A,~50,"UK Elite Boutique; JustEat, major UK restructurings",,
Zaoui & Co,Investment Banking,London,UK,London,zaoui.com,Large-cap M&A,N/A,N/A,1,N/A,~20,UK Elite Boutique; Major FTSE deals,,
Peel Hunt,Investment Banking,London,UK,London,peelhunt.com,"ECM, M&A",N/A,N/A,1,N/A,300+,UK Mid-Market Broker,,
Investec,Investment Banking,London,UK,London,investec.com,"Healthcare, M&A, Debt",N/A,N/A,1,N/A,500+ (UK IB),UK Mid-Market Broker,,
Liberum,Investment Banking,London,UK,London,liberum.com,"Equities, Research, ECM",N/A,N/A,2,N/A,130+,UK Mid-Market Broker,,
Shore Capital,Investment Banking,London,UK,London,shorecap.co.uk,"Consumer, Leisure, Retail",N/A,N/A,2,N/A,100+,UK Mid-Market Broker,,
Singer Capital Markets,Investment Banking,London,UK,London,singercm.com,"Growth companies, AIM",N/A,N/A,2,N/A,100+,UK Mid-Market Broker,,
Panmure Liberum,Investment Banking,London,UK,London,panmureliberum.com,"Technology, Healthcare",N/A,N/A,2,N/A,200+,UK Mid-Market Broker,,
Stifel Nicolaus Europe,Investment Banking,London,UK,London,stifel.com,"Healthcare, Real Estate, Tech",N/A,N/A,2,N/A,200+ (UK),UK Mid-Market Broker,,
Canaccord Genuity,Investment Banking,London,UK,London,canaccordgenuity.com,"Technology, Healthcare, Mining",N/A,N/A,1,N/A,300+ (UK),UK Mid-Market Broker,,
WH Ireland,Investment Banking,London,UK,London,whirelandplc.com,Small-cap equities,N/A,N/A,2,N/A,100+,UK Mid-Market Broker,,
Berenberg,Investment Banking,London,UK,London,berenberg.de,"Equities, ECM",N/A,N/A,2,N/A,200+ (UK),European Boutique with London Office,,HQ Hamburg
DC Advisory,Investment Banking,London,UK,London,dcadvisory.com,"Cross-border M&A, Debt",N/A,N/A,1,N/A,"700+ globally, 150+ London",European Boutique with London Office,,US MBA Recruiting: Yes
Lincoln International,Investment Banking,London,UK,London,lincolninternational.com,"Healthcare, Consumer, Industrials",N/A,N/A,1,N/A,1000+ globally,European Boutique with London Office,,US MBA Recruiting: Yes
Alantra,Investment Banking,London,UK,London,alantra.com,"FIG, Technology, Debt",N/A,N/A,1,N/A,"500+, 180+ London",European Boutique with London Office,,US MBA Recruiting: Yes
Oaklins UK,Investment Banking,London,UK,London,oaklins.com/gb,Multi-sector cross-border,N/A,N/A,2,N/A,850+ globally,European Boutique with London Office,,
Livingstone Partners,Investment Banking,London,UK,London,livingstonepartners.com,"Business Services, Consumer",N/A,N/A,2,N/A,80+,European Boutique with London Office,,US MBA Recruiting: Yes
Clipperton,Investment Banking,Paris,France,London,clipperton.net,"Technology, VC-backed M&A",N/A,N/A,2,N/A,50+,European Boutique with London Office,,
Vermilion Partners,Investment Banking,London,UK,London,vermilionpartners.com,Cross-border China M&A,N/A,N/A,2,N/A,50+,European Boutique with London Office,,
Arma Partners,Investment Banking,London,UK,London,armapartners.com,"Software, Fintech, Digital Health",N/A,N/A,1,N/A,150,"TMT Specialist; Blackstone-Civica, Hg-Focus",,
GP Bullhound,Investment Banking,London,UK,London,gpbullhound.com,"Digital commerce, Media, Fintech",N/A,N/A,1,N/A,180,"TMT Specialist; Goat-WPP, BRP Systems",,
Drake Star Partners,Investment Banking,London,UK,London,drakestar.com,"SaaS, Digital Media, Industrial Tech",N/A,N/A,2,N/A,100+,TMT Specialist; Envato-Shutterstock,,
Torch Partners,Investment Banking,London,UK,London,torchpartners.com,"Digital Infrastructure, Fintech",N/A,N/A,2,N/A,50,"TMT Specialist; Zoovu-FTV, ERM-KKR",,
Qatalyst Partners,Investment Banking,London,UK,London,qatalyst.com,Technology,N/A,N/A,1,N/A,~11 UK,TMT Specialist; Darktrace-Thoma Bravo,,
JEGI Clarity,Investment Banking,London,UK,London,jegiclarity.com,"Media, Marketing, B2B",N/A,N/A,2,N/A,80,TMT Specialist; e.Republic-Leeds,,
LionTree,Investment Banking,London,UK,London,liontree.com,"Media, Communications",N/A,N/A,1,N/A,140,TMT Specialist; Adevinta-Permira/Blackstone,,
Raine Group,Investment Banking,London,UK,London,raine.com,"TMT, Entertainment, Sports",N/A,N/A,1,N/A,220,TMT Specialist; ARM IPO,,
Acuity Advisors,Investment Banking,London,UK,London,acuity.co.uk,"Semiconductors, Deep Tech, Telecoms",N/A,N/A,2,N/A,30,TMT Specialist; Excalibur-Onecom,,
Fenchurch Advisory,Investment Banking,London,UK,London,fenchurchadvisory.com,Financial Services exclusively,N/A,N/A,1,N/A,"70+ (London, NY, Paris)","FIG Specialist; Standard Life-Phoenix, Numis-Deutsche Bank",,
Aream & Co,Investment Banking,London,UK,London,aream.co,"Gaming, Interactive Entertainment",N/A,N/A,2,N/A,N/A,"Gaming Specialist; Jagex-CVC, Snowprint-MTG",,
Agnitio Capital,Investment Banking,London,UK,London,agnitiocapital.com,"Video Games, Digital Media",N/A,N/A,2,N/A,N/A,Gaming Specialist; AxesinMotion-Media and Games Invest,,
McQueen,Investment Banking,London,UK,London,mcqueen.co,"Consumer, Retail, Leisure exclusively",N/A,N/A,2,N/A,N/A,Consumer/Retail Specialist,,
Raymond James UK,Investment Banking,London,UK,London,londonwall.raymondjames.uk.com,"Consumer, Retail, Financial Services",N/A,N/A,2,N/A,N/A,Consumer/Retail Specialist,,
Alexa Capital,Investment Banking,London,UK,London,alexacapital.com,"Energy Technology, Infrastructure, e-Mobility",N/A,N/A,2,N/A,N/A,Energy/Infrastructure Specialist,,
Adam Street Advisers,Investment Banking,London,UK,London,adamstreetadvisers.com,"Generalist, PE buy-side",N/A,"GBP10m-GBP150m",2,N/A,N/A,UK Corporate Finance Boutique,,
Altitude CF,Investment Banking,London,UK,London,altitudecf.com,"Digital economy, Technology",N/A,"GBP20m-GBP500m",2,N/A,N/A,UK Corporate Finance Boutique,,
Boxington,Investment Banking,London,UK,London,boxington.com,"B2B Services, Technology",N/A,"GBP10m-GBP100m",2,N/A,N/A,UK Corporate Finance Boutique,,
Cardean Bell,Investment Banking,London,UK,London,cardeanbell.com,"Info services, Telecom, Financial Services",N/A,Mid-market,2,N/A,N/A,UK Corporate Finance Boutique,,
Bishopsgate Corporate Finance,Investment Banking,London,UK,London,bishopsgatecf.co.uk,"Generalist, PE deals",N/A,"GBP10m-GBP200m",2,N/A,N/A,UK Corporate Finance Boutique,,
MCF Corporate Finance,Investment Banking,London,UK,London,mcfcorpfin.com,Cross-sector M&A,N/A,Mid-market,2,N/A,N/A,UK Corporate Finance Boutique,,
Blackwood Capital,Investment Banking,London,UK,London,blackwoodcapital.com,"Human Capital Services, Tech-enabled Services",N/A,Cross-border,2,N/A,N/A,UK Corporate Finance Boutique,,
Goldenhill International,Investment Banking,London,UK,London,goldenhill.international,Cross-border M&A,N/A,Mid-market,2,N/A,N/A,UK Corporate Finance Boutique,,
Marktlink,Investment Banking,London,UK,London,marktlink.com/uk,SME M&A,N/A,"EUR5m-EUR250m",2,N/A,N/A,UK Corporate Finance Boutique,,
Lazard,Investment Banking,Hong Kong,HK,Hong Kong,lazard.com,"Cross-border M&A, Restructuring",N/A,N/A,1,N/A,30-50+,"Elite Boutique; Mandarin required",,International Hiring: Yes with Mandarin
Rothschild & Co,Investment Banking,Hong Kong,HK,Hong Kong,rothschildandco.com,"M&A Advisory, Debt Advisory",N/A,N/A,1,N/A,20-40,"Elite Boutique; Mandarin highly preferred",,International Hiring: Limited without Mandarin
Moelis & Company,Investment Banking,Hong Kong,HK,Hong Kong,moelis.com,"M&A, Restructuring",N/A,N/A,1,N/A,15-30,"Elite Boutique; Mandarin required for China deals",,International Hiring: Possible with Mandarin
Evercore,Investment Banking,Hong Kong,HK,Hong Kong,evercore.com,M&A Advisory,N/A,N/A,1,N/A,10-20,"Elite Boutique; Mandarin/regional languages",,International Hiring: Limited HK seats
Houlihan Lokey,Investment Banking,Hong Kong,HK,Hong Kong,hl.com,"Restructuring, M&A, Valuation",N/A,N/A,1,N/A,20-30,"Elite Boutique; Mandarin preferred; some English-only RX",,International Hiring: Yes for restructuring
CLSA (CITIC CLSA),Investment Banking,Hong Kong,HK,Hong Kong,clsa.com,"Equity Research, Capital Markets, M&A",N/A,N/A,1,N/A,1000+ HK,"Asia Regional Powerhouse; Internationalized culture",,
BDA Partners,Investment Banking,Hong Kong,HK,Hong Kong,bdapartners.com,"Sellside M&A, Secondary transactions",N/A,N/A,1,N/A,"120+ bankers, 9 offices","Asia Regional Powerhouse; diverse international team",,International Hiring: Yes
Macquarie Capital Asia,Investment Banking,Hong Kong,HK,Hong Kong,macquarie.com,"Infrastructure, M&A, ECM",N/A,N/A,1,N/A,Large HK presence,Asia Regional Powerhouse; Australia-Asia corridor,,International Hiring: Yes with regional expertise
China Renaissance,Investment Banking,Beijing,China,Hong Kong,chinarenaissance.com,"TMT, Healthcare, AGI",N/A,N/A,1,N/A,400+ globally,"Greater China Specialist; New Economy focus",,International Hiring: Very limited
Huatai International,Investment Banking,Hong Kong,HK,Hong Kong,htsc.com.cn,"ECM, M&A, Research",N/A,N/A,2,N/A,Large HK team,Greater China Specialist; Cross-border,,International Hiring: Limited
Guotai Junan International,Investment Banking,Hong Kong,HK,Hong Kong,gtjai.com,"Wealth Management, IB, Trading",N/A,N/A,2,N/A,Large presence,Greater China Specialist,,International Hiring: Very limited
Haitong International,Investment Banking,Hong Kong,HK,Hong Kong,htisec.com,Full-service IB,N/A,N/A,2,N/A,Major HK presence,Greater China Specialist; Global reach,,International Hiring: Very limited
GF Securities (Hong Kong),Investment Banking,Hong Kong,HK,Hong Kong,gfgroup.com.hk,"ECM, DCM, Wealth Management",N/A,N/A,2,N/A,200+ HK,Greater China Specialist; GBA focus,,International Hiring: Very limited
Vermilion Partners,Investment Banking,Beijing,China,Hong Kong,vermilion-partners.com,"M&A, JVs, PE advisory",N/A,N/A,2,N/A,~43 professionals,Greater China Specialist; Cross-border,,International Hiring: Limited
Somerley Capital,Investment Banking,Hong Kong,HK,Hong Kong,somerleycapital.com,"IFA, Takeovers, IPO Sponsorship",N/A,N/A,1,N/A,N/A,"HK Local Boutique; Alibaba.com privatization ($2.5B)",,International Hiring: Possible
Ivory Capital Asia,Investment Banking,Hong Kong,HK,Hong Kong,ivorycapitalasia.com,"M&A, Strategic Advisory",N/A,N/A,1,N/A,N/A,"HK Local Boutique; Tencent gaming disposal, $8B+ deals",,International Hiring: Possible
Kingston Corporate Finance,Investment Banking,Hong Kong,HK,Hong Kong,kingstongroup.com.hk,"ECM, M&A Advisory, Placements",N/A,N/A,2,N/A,N/A,HK Local Boutique; Top HK placement house 2016,,International Hiring: Very limited
Gram Capital,Investment Banking,Hong Kong,HK,Hong Kong,gramcapital.com,"IFA, Connected Transactions",N/A,N/A,2,N/A,N/A,HK Local Boutique; Top HK M&A advisor by volume,,International Hiring: Very limited
Asian Capital Holding,Investment Banking,Hong Kong,HK,Hong Kong,asiancap.com.hk,Corporate Finance Advisory,N/A,N/A,2,N/A,N/A,HK Local Boutique; HK listed company transactions,,International Hiring: Very limited
Octal Capital,Investment Banking,Hong Kong,HK,Hong Kong,octal.com.hk,"IFA, IPO Advisory",N/A,N/A,2,N/A,N/A,HK Local Boutique; HK GEM/Main Board deals,,International Hiring: Very limited
Optima Capital,Investment Banking,Hong Kong,HK,Hong Kong,optimacapital.com.hk,"IFA, Takeovers",N/A,N/A,2,N/A,N/A,HK Local Boutique; HK listed transactions,,International Hiring: Very limited
Yu Ming Investment,Investment Banking,Hong Kong,HK,Hong Kong,yuming.com.hk,Corporate Finance,N/A,N/A,2,N/A,N/A,HK Local Boutique; Local HK deals,,International Hiring: Very limited
Grand Vinco Capital,Investment Banking,Hong Kong,HK,Hong Kong,grandvinco.com,Corporate Finance Advisory,N/A,N/A,2,N/A,N/A,HK Local Boutique; HK listed company work,,International Hiring: Very limited
Anglo Chinese Group,Investment Banking,Hong Kong,HK,Hong Kong,anglochinese.com,"Corporate Finance, Restructuring",N/A,N/A,2,N/A,N/A,HK Local Boutique; Local HK/China transactions,,International Hiring: Very limited
Sun Hung Kai Financial,Investment Banking,Hong Kong,HK,Hong Kong,shkco.com,"Full-service securities, IB",N/A,N/A,2,N/A,N/A,HK Local Boutique; Local HK market,,International Hiring: Very limited
Jun Hui International Finance,Investment Banking,Hong Kong,HK,Hong Kong,junhui.com.hk,"IPO Sponsorship, M&A",N/A,N/A,2,N/A,N/A,HK Local Boutique; HK and overseas listings,,International Hiring: Possible
SI Partners Global,Investment Banking,Hong Kong,HK,Hong Kong,siglobal.com,Strategic M&A Advisory,N/A,N/A,2,N/A,N/A,Cross-Border M&A Advisory,,International Hiring: Yes
ARC Group,Investment Banking,Hong Kong,HK,Hong Kong,arc-group.com,Asia-Western bridge M&A,N/A,N/A,2,N/A,N/A,Cross-Border M&A Advisory,,International Hiring: Yes
Armor Capital,Investment Banking,Hong Kong,HK,Hong Kong,armor-capital.com,Asia-Europe corridor M&A,N/A,N/A,2,N/A,N/A,Cross-Border M&A Advisory,,International Hiring: Yes diverse team
Foulger Underwood Asia,Investment Banking,Hong Kong,HK,Hong Kong,foulgerunderwood.com,Professional Services M&A,N/A,N/A,2,N/A,N/A,Cross-Border M&A Advisory,,International Hiring: Yes
YCP Group,Investment Banking,Singapore,SG,Hong Kong,ycp.com,"M&A Execution, Strategy",N/A,N/A,2,N/A,N/A,Cross-Border M&A Advisory,,International Hiring: Yes
Evercore,Investment Banking,Singapore,SG,Singapore,evercore.com,"M&A advisory, restructuring",N/A,N/A,1,N/A,N/A,"Elite Boutique; English-sufficient; Mandarin helpful",,International Hiring: Actively expanding
Lazard,Investment Banking,Singapore,SG,Singapore,lazard.com,"M&A, restructuring, private capital",N/A,N/A,1,N/A,N/A,Elite Boutique; English-sufficient,,International Hiring: Yes via OCR
Rothschild & Co,Investment Banking,Singapore,SG,Singapore,rothschildandco.com,"M&A advisory, debt advisory",N/A,N/A,1,N/A,N/A,Elite Boutique; English-sufficient,,International Hiring: Yes
Moelis & Company,Investment Banking,Singapore,SG,Singapore,moelis.com,"M&A advisory, restructuring",N/A,N/A,1,N/A,N/A,Elite Boutique; English-sufficient,,International Hiring: Yes
Houlihan Lokey,Investment Banking,Singapore,SG,Singapore,hl.com,"Restructuring (#1), M&A",N/A,N/A,1,N/A,N/A,Elite Boutique; English-sufficient,,International Hiring: Yes
BDA Partners,Investment Banking,Singapore,SG,Singapore,bdapartners.com,"Sellside M&A, secondary transactions",N/A,N/A,1,N/A,120+ bankers,Regional Advisory; Pan-Asia cross-border,,International Hiring: Yes
Jefferies,Investment Banking,Singapore,SG,Singapore,jefferies.com,"M&A, ECM, DCM",N/A,N/A,1,N/A,60+ in Asia,Regional Advisory; Growing significantly,,International Hiring: Yes
Nomura,Investment Banking,Singapore,SG,Singapore,nomuraholdings.com,"M&A, ECM, DCM",N/A,N/A,1,N/A,Large presence,Regional Advisory; Pan-Asia,,English; Japanese helpful
Macquarie Capital,Investment Banking,Singapore,SG,Singapore,macquarie.com,"M&A, infrastructure, energy transition",N/A,N/A,1,N/A,Large presence,Regional Advisory; ANZ Asia-Pacific,,International Hiring: Yes
CIMB Investment Bank,Investment Banking,Singapore,SG,Singapore,cimb.com,"M&A, debt/equity capital markets",N/A,N/A,1,N/A,Market leader,Regional Advisory; All 10 ASEAN countries,,English; Bahasa helpful
Maybank Investment Banking,Investment Banking,Singapore,SG,Singapore,maybank.com,"M&A, sustainability-first IB",N/A,N/A,1,N/A,Regional presence,Regional Advisory; ASEAN-focused,,English
PrimePartners Corporate Finance,Investment Banking,Singapore,SG,Singapore,primepartners.com.sg,"IPO, M&A, Catalist sponsorship",N/A,N/A,1,1994,N/A,"Singapore Local Boutique; 60+ SGX listings; Founded 1994",,
SAC Capital,Investment Banking,Singapore,SG,Singapore,saccapital.com.sg,"IPOs, M&A, Catalist sponsorship",N/A,N/A,2,N/A,N/A,Singapore Local Boutique; Alliance with Resona Bank (Japan),,
Novus Corporate Finance,Investment Banking,Singapore,SG,Singapore,novuscf.com,"IPO, M&A, Catalist sponsorship",N/A,N/A,2,N/A,N/A,Singapore Local Boutique; 50+ SGX listings track record,,
Provenance Capital,Investment Banking,Singapore,SG,Singapore,provenancecapital.com.sg,"IPOs, M&A, privatizations, takeovers",N/A,N/A,2,N/A,N/A,Singapore Local Boutique; MAS-licensed,,
ZICO Capital,Investment Banking,Singapore,SG,Singapore,zicoholdings.com,"IPOs, M&A, Catalist sponsorship",N/A,N/A,2,2016,N/A,Singapore Local Boutique; MAS CMS license (2016),,
Stirling Coleman,Investment Banking,Singapore,SG,Singapore,stirlingcoleman.com,"M&A, Mainboard listing",N/A,N/A,2,N/A,N/A,Singapore Local Boutique; 20+ years track record,,
Avista Advisory Partners,Investment Banking,Singapore,SG,Singapore,avistaadvisory.com,Investment banking advisory,N/A,N/A,2,N/A,N/A,"Singapore Local Boutique; Regional: India, Philippines, Vietnam",,
Vantage Capital Partners,Investment Banking,Singapore,SG,Singapore,vcapasia.com,Technology corporate finance,N/A,N/A,2,N/A,N/A,Singapore Local Boutique; Sector specialist,,
North Ridge Partners,Investment Banking,Singapore,SG,Singapore,northridgepartners.com,"Technology M&A, financial strategy",N/A,N/A,2,N/A,N/A,Singapore Local Boutique; GP Bullhound partnership,,
Oaklins Singapore,Investment Banking,Singapore,SG,Singapore,oaklins.com/sg,"M&A, corporate finance, capital raising",N/A,N/A,2,N/A,N/A,Cross-Border M&A; Global network,,
Stenvall Skoeld & Company,Investment Banking,Singapore,SG,Singapore,stenvall-skoeld.com,"Buy-side/sell-side M&A, JV advisory",N/A,N/A,2,N/A,N/A,Cross-Border M&A; ASEAN and China,,
Crossborder Pte Ltd,Investment Banking,Singapore,SG,Singapore,crossborder.asia,"Strategic M&A, JV, restructuring",N/A,N/A,2,N/A,N/A,Cross-Border M&A; ASEAN Asia Pacific,,
Amidas Partners,Investment Banking,Singapore,SG,Singapore,amidaspartners.com,Cross-border M&A for Japanese companies,N/A,N/A,2,N/A,N/A,Cross-Border M&A; Japan-Southeast Asia,,
Yamada Consulting & Spire,Investment Banking,Singapore,SG,Singapore,yamada-spire.com,"M&A advisory, due diligence",N/A,N/A,2,N/A,N/A,Cross-Border M&A; Japan-ASEAN,,
